Iteration,TestCaseID,CycleDate,TransactionType,VerificationType,TestCaseDesription,StartDate,EndDate,ElapsedTime,Status,ExecutionDescription,Screenshot
"Cycle1","Common","Common","Login","","","2024/10/10 18:27:37","2024/10/10 18:28:05","00:00:27:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/10 18:29:57","2024/10/10 18:30:25","00:00:27:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/10 18:31:21","2024/10/10 18:31:49","00:00:26:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/10 18:49:40","2024/10/10 18:50:08","00:00:27:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/10 19:06:06","2024/10/10 19:06:33","00:00:27:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/10 19:14:21","2024/10/10 19:14:49","00:00:28:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/10 19:25:11","2024/10/10 19:25:40","00:00:28:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/10 19:32:03","2024/10/10 19:32:35","00:00:31:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/11 01:32:57","2024/10/11 01:33:24","00:00:26:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/11 01:44:10","2024/10/11 01:44:36","00:00:26:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/11 01:52:36","2024/10/11 01:53:02","00:00:25:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/11 01:58:10","2024/10/11 01:58:36","00:00:25:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/11 02:01:21","2024/10/11 02:01:48","00:00:26:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/11 02:19:27","2024/10/11 02:19:54","00:00:26:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/11 06:41:29","2024/10/11 06:41:56","00:00:26:","PASS","",""
"Cycle1","Common","Common","Login","","","2024/10/11 07:01:10","2024/10/11 07:01:37","00:00:26:","PASS","",""
"Cycle1","SC5_1","12/29/2017","ChecksEntry","","SC5_DB","2024/10/11 07:01:43","2024/10/11 07:06:05","00:04:18:","PASS","","file:\\C:\Users\Mandar12469\iTAF\Workspace_iTAFSel4\Automation_Packs\RegressionTesting_1\Resources\Results\\ScreenShots\SC5_1_ChecksEntry_12_29_2017_9.jpeg"
"Cycle1","Common","Common","Login","","","2025/02/19 13:29:08","2025/02/19 13:29:08","00:00:06:","FAIL","C:\Users\Mandar12469\iTAF\Workspace_iTAFSel4\Automation_Packs\INPUT_STRUCTURE_REG\Login.xlsx (The system cannot find the path specified)",""
"Cycle1","Common","Common","Login","","","2025/02/26 15:52:02","2025/02/26 15:52:03","00:00:07:","FAIL","C:\Users\Mandar12469\iTAF\Workspace_iTAFSel4\Automation_Packs\INPUT_STRUCTURE_REG\Login.xlsx (The system cannot find the path specified)",""
"Cycle1","Common","Common","Login","","","2025/04/09 09:13:25","2025/04/09 09:14:11","00:00:44:","PASS","",""
"Cycle1","SC5_1","12/29/2017","ChecksEntry","","","2025/04/09 09:14:16","2025/04/09 09:23:30","00:09:12:","FAIL","Error:Error : Expected condition failed: waiting for presence of element located by: By.xpath: .//*[@data-activepage="true"]//*[@data-label="Save" and @data-label="Save"]/button (tried for 180 second(s) with 5000 milliseconds interval)","file:\\C:\Users\Mandar12469\iTAF\Workspace_iTAFSel4\Automation_Packs\RegressionTesting_1\Resources\Results\\ScreenShots\SC5_1_ChecksEntry_12_29_2017_14.jpeg"
"Cycle1","Common","Common","Login","","","2025/08/06 13:23:44","2025/08/06 13:24:30","00:00:45:","PASS","",""
"Cycle1","Common","Common","Login","","","2025/08/06 13:26:11","2025/08/06 13:26:56","00:00:44:","PASS","",""
"Cycle1","Common","12/29/2017","ChangeBusinessdate","","","2025/08/06 13:26:58","2025/08/06 13:26:58","00:00:00:","PASS","COMPLETED ; SUCCESS ; 2017-12-29","file:\\C:\Users\Mandar12469\iTAF\Workspace_iTAFSel4\Automation_Packs\RegressionTesting_1\Resources\Results\\ScreenShots\Common_Login_Common_1.jpeg"
"Cycle1","Common","Common","Login","","","2025/08/06 13:37:24","2025/08/06 13:38:09","00:00:44:","PASS","",""
"Cycle1","Common","Common","Login","","","2025/08/06 13:39:06","2025/08/06 13:39:51","00:00:44:","PASS","",""
"Cycle1","Common","Common","Login","","","2025/08/06 13:48:48","2025/08/06 13:49:33","00:00:43:","PASS","",""
"Cycle1","Common","Common","Login","","","2025/08/06 13:53:55","2025/08/06 13:54:40","00:00:44:","PASS","",""
"Cycle1","Common","Common","Login","","","2025/08/06 13:57:12","2025/08/06 13:57:56","00:00:44:","PASS","",""
"Cycle1","Common","Common","Login","","","2025/08/06 14:05:38","2025/08/06 14:06:23","00:00:44:","PASS","",""
